Prog,n,nbThread,timeDebut,timeEnd,duration
Integral,2,1,1485210330,1485210335,5
Integral,2,2,1485210335,1485210343,8
Integral,2,3,1485210343,1485210351,8
Integral,2,4,1485210351,1485210359,8
Integral,2,5,1485210359,1485210367,8
Integral,2,6,1485210367,1485210375,8
Integral,2,7,1485210375,1485210383,8
Integral,2,8,1485210383,1485210391,8
Integral,2,9,1485210391,1485210399,8
Integral,2,10,1485210399,1485210407,8
Integral,2,11,1485210407,1485210415,8
Integral,2,12,1485210415,1485210423,8
Integral,2,13,1485210423,1485210431,8
Integral,2,14,1485210431,1485210439,8
Integral,2,15,1485210439,1485210447,8
Integral,2,16,1485210447,1485210455,8
Integral,2,1,1485210455,1485210463,8
Integral,2,2,1485210463,1485210470,7
Integral,2,3,1485210470,1485210478,8
Integral,2,4,1485210478,1485210487,9
Integral,2,5,1485210487,1485210494,7
Integral,2,6,1485210494,1485210502,8
Integral,2,7,1485210502,1485210510,8
Integral,2,8,1485210510,1485210518,8
Integral,2,9,1485210518,1485210526,8
Integral,2,10,1485210526,1485210534,8
Integral,2,11,1485210534,1485210542,8
Integral,2,12,1485210542,1485210550,8
Integral,2,13,1485210550,1485210558,8
Integral,2,14,1485210558,1485210566,8
Integral,2,15,1485210566,1485210575,9
Integral,2,16,1485210575,1485210583,8
Integral,2,1,1485210583,1485210590,7
Integral,2,2,1485210590,1485210599,9
Integral,2,3,1485210599,1485210607,8
Integral,2,4,1485210607,1485210615,8
Integral,2,5,1485210615,1485210623,8
Integral,2,6,1485210623,1485210631,8
Integral,2,7,1485210631,1485210639,8
Integral,2,8,1485210639,1485210647,8
Integral,2,9,1485210647,1485210655,8
Integral,2,10,1485210655,1485210663,8
Integral,2,11,1485210663,1485210671,8
Integral,2,12,1485210671,1485210679,8
Integral,2,13,1485210679,1485210687,8
Integral,2,14,1485210687,1485210695,8
Integral,2,15,1485210695,1485210703,8
Integral,2,16,1485210703,1485210711,8
Integral,2,1,1485210711,1485210719,8
Integral,2,2,1485210719,1485210727,8
Integral,2,3,1485210727,1485210735,8
Integral,2,4,1485210735,1485210743,8
Integral,2,5,1485210743,1485210751,8
Integral,2,6,1485210751,1485210759,8
Integral,2,7,1485210759,1485210767,8
Integral,2,8,1485210767,1485210774,7
Integral,2,9,1485210774,1485210783,9
Integral,2,10,1485210783,1485210791,8
