Prog,n,nbThread,timeDebut,timeEnd,duration
Bigram,,1,1485231106,1485231117,11
Bigram,,2,1485231117,1485231129,12
Bigram,,3,1485231129,1485231139,10
Bigram,,4,1485231139,1485231150,11
Bigram,,5,1485231150,1485231161,11
Bigram,,1,1485231161,1485231172,11
Bigram,,2,1485231172,1485231183,11
Bigram,,3,1485231183,1485231194,11
Bigram,,4,1485231194,1485231205,11
Bigram,,5,1485231205,1485231216,11
Bigram,,1,1485231216,1485231226,10
Bigram,,2,1485231226,1485231238,12
Bigram,,3,1485231238,1485231248,10
Bigram,,4,1485231248,1485231260,12
Bigram,,5,1485231260,1485231270,10
Bigram,,1,1485231270,1485231281,11
Bigram,,2,1485231281,1485231292,11
Bigram,,3,1485231292,1485231303,11
Bigram,,4,1485231303,1485231314,11
Bigram,,5,1485231314,1485231324,10
Bigram,,1,1485231324,1485231335,11
Bigram,,2,1485231335,1485231346,11
Bigram,,3,1485231346,1485231357,11
Bigram,,4,1485231357,1485231368,11
Bigram,,5,1485231368,1485231379,11
