Prog,n,nbThread,timeDebut,timeEnd,duration
Integral,1,1,1485174823,1485174827,4
Integral,1,2,1485174827,1485174830,3
Integral,1,3,1485174830,1485174834,4
Integral,1,4,1485174834,1485174837,3
Integral,1,5,1485174837,1485174841,4
Integral,1,6,1485174841,1485174845,4
Integral,1,7,1485174845,1485174849,4
Integral,1,8,1485174849,1485174852,3
Integral,1,9,1485174852,1485174856,4
Integral,1,10,1485174856,1485174859,3
Integral,1,11,1485174859,1485174862,3
Integral,1,12,1485174862,1485174866,4
Integral,1,13,1485174866,1485174869,3
Integral,1,14,1485174869,1485174873,4
Integral,1,15,1485174873,1485174876,3
Integral,1,16,1485174876,1485174879,3
Integral,1,1,1485174879,1485174883,4
Integral,1,2,1485174883,1485174886,3
Integral,1,3,1485174886,1485174890,4
Integral,1,4,1485174890,1485174893,3
Integral,1,5,1485174893,1485174897,4
Integral,1,6,1485174897,1485174901,4
Integral,1,7,1485174901,1485174904,3
Integral,1,8,1485174904,1485174907,3
Integral,1,9,1485174907,1485174911,4
Integral,1,10,1485174911,1485174914,3
Integral,1,11,1485174914,1485174918,4
Integral,1,12,1485174918,1485174921,3
Integral,1,13,1485174921,1485174925,4
Integral,1,14,1485174925,1485174928,3
Integral,1,15,1485174928,1485174931,3
Integral,1,16,1485174931,1485174935,4
Integral,1,1,1485174935,1485174941,6
Integral,1,2,1485174941,1485174948,7
Integral,1,3,1485174948,1485174954,6
Integral,1,4,1485174954,1485174961,7
Integral,1,5,1485174961,1485174967,6
Integral,1,6,1485174967,1485174974,7
Integral,1,7,1485174974,1485174980,6
Integral,1,8,1485174980,1485174987,7
Integral,1,9,1485174987,1485174992,5
Integral,1,10,1485174992,1485174995,3
Integral,1,11,1485174995,1485174999,4
Integral,1,12,1485174999,1485175003,4
Integral,1,13,1485175003,1485175006,3
Integral,1,14,1485175006,1485175010,4
Integral,1,15,1485175010,1485175013,3
Integral,1,16,1485175013,1485175017,4
Integral,1,1,1485175017,1485175020,3
Integral,1,2,1485175020,1485175024,4
Integral,1,3,1485175024,1485175028,4
Integral,1,4,1485175028,1485175032,4
Integral,1,5,1485175032,1485175035,3
Integral,1,6,1485175035,1485175039,4
Integral,1,7,1485175039,1485175042,3
Integral,1,8,1485175042,1485175046,4
Integral,1,9,1485175046,1485175049,3
Integral,1,10,1485175049,1485175053,4
Integral,1,11,1485175053,1485175056,3
Integral,1,12,1485175056,1485175060,4
Integral,1,13,1485175060,1485175064,4
Integral,1,14,1485175064,1485175067,3
Integral,1,15,1485175067,1485175067,0
