Prog,n,nbThread,timeDebut,timeEnd,duration
Bigram,,1,1485190308,1485190319,11
Bigram,,2,1485190319,1485190331,12
Bigram,,3,1485190331,1485190342,11
Bigram,,4,1485190342,1485190354,12
Bigram,,5,1485190354,1485190365,11
Bigram,,1,1485190365,1485190377,12
Bigram,,2,1485190377,1485190389,12
Bigram,,3,1485190389,1485190401,12
Bigram,,4,1485190401,1485190413,12
Bigram,,5,1485190413,1485190425,12
Bigram,,1,1485190425,1485190436,11
Bigram,,2,1485190436,1485190449,13
Bigram,,3,1485190449,1485190460,11
Bigram,,4,1485190460,1485190472,12
Bigram,,5,1485190472,1485190484,12
Bigram,,1,1485190484,1485190495,11
Bigram,,2,1485190495,1485190509,14
Bigram,,3,1485190509,1485190520,11
Bigram,,4,1485190520,1485190532,12
Bigram,,5,1485190532,1485190544,12
Bigram,,1,1485190544,1485190555,11
Bigram,,2,1485190555,1485190568,13
Bigram,,3,1485190568,1485190579,11
Bigram,,4,1485190579,1485190592,13
Bigram,,5,1485190592,1485190604,12
