Prog,n,nbThread,timeDebut,timeEnd,duration
Integral,2,1,1485186053,1485186058,5
Integral,2,2,1485186058,1485186063,5
Integral,2,3,1485186063,1485186071,8
Integral,2,4,1485186071,1485186079,8
Integral,2,5,1485186079,1485186088,9
Integral,2,6,1485186088,1485186096,8
Integral,2,7,1485186096,1485186104,8
Integral,2,8,1485186104,1485186112,8
Integral,2,9,1485186112,1485186120,8
Integral,2,10,1485186120,1485186128,8
Integral,2,11,1485186128,1485186136,8
Integral,2,12,1485186136,1485186145,9
Integral,2,13,1485186145,1485186153,8
Integral,2,14,1485186153,1485186161,8
Integral,2,15,1485186161,1485186169,8
Integral,2,16,1485186169,1485186177,8
Integral,4,1,1485186177,1485186186,9
Integral,4,2,1485186186,1485186194,8
Integral,4,3,1485186194,1485186202,8
Integral,4,4,1485186202,1485186210,8
Integral,4,5,1485186210,1485186218,8
Integral,4,6,1485186218,1485186226,8
Integral,4,7,1485186226,1485186234,8
Integral,4,8,1485186234,1485186243,9
Integral,4,9,1485186243,1485186251,8
Integral,4,10,1485186251,1485186259,8
Integral,4,11,1485186259,1485186267,8
Integral,4,12,1485186267,1485186275,8
Integral,4,13,1485186275,1485186283,8
Integral,4,14,1485186283,1485186291,8
Integral,4,15,1485186291,1485186299,8
Integral,4,16,1485186299,1485186308,9
Integral,8,1,1485186308,1485186316,8
Integral,8,2,1485186316,1485186324,8
Integral,8,3,1485186324,1485186333,9
Integral,8,4,1485186333,1485186341,8
Integral,8,5,1485186341,1485186349,8
Integral,8,6,1485186349,1485186357,8
Integral,8,7,1485186357,1485186365,8
Integral,8,8,1485186365,1485186373,8
Integral,8,9,1485186373,1485186381,8
Integral,8,10,1485186381,1485186389,8
Integral,8,11,1485186389,1485186398,9
Integral,8,12,1485186398,1485186405,7
Integral,8,13,1485186405,1485186413,8
Integral,8,14,1485186413,1485186421,8
Integral,8,15,1485186421,1485186430,9
Integral,8,16,1485186430,1485186437,7
Integral,16,1,1485186437,1485186446,9
Integral,16,2,1485186446,1485186454,8
Integral,16,3,1485186454,1485186462,8
Integral,16,4,1485186462,1485186469,7
Integral,16,5,1485186469,1485186478,9
Integral,16,6,1485186478,1485186486,8
Integral,16,7,1485186486,1485186494,8
Integral,16,8,1485186494,1485186503,9
Integral,16,9,1485186503,1485186511,8
Integral,16,10,1485186511,1485186520,9
Integral,16,11,1485186520,1485186528,8
Integral,16,12,1485186528,1485186536,8
Integral,16,13,1485186536,1485186545,9
Integral,16,14,1485186545,1485186553,8
Integral,16,15,1485186553,1485186561,8
Integral,16,16,1485186561,1485186570,9
Integral,32,1,1485186570,1485186578,8
Integral,32,2,1485186578,1485186586,8
Integral,32,3,1485186586,1485186594,8
Integral,32,4,1485186594,1485186603,9
Integral,32,5,1485186603,1485186612,9
Integral,32,6,1485186612,1485186620,8
Integral,32,7,1485186620,1485186629,9
Integral,32,8,1485186629,1485186637,8
Integral,32,9,1485186637,1485186645,8
Integral,32,10,1485186645,1485186653,8
Integral,32,11,1485186653,1485186661,8
Integral,32,12,1485186661,1485186669,8
Integral,32,13,1485186669,1485186678,9
Integral,32,14,1485186678,1485186686,8
Integral,32,15,1485186686,1485186694,8
Integral,32,16,1485186694,1485186703,9
Integral,64,1,1485186703,1485186711,8
Integral,64,2,1485186711,1485186719,8
Integral,64,3,1485186719,1485186727,8
Integral,64,4,1485186727,1485186736,9
Integral,64,5,1485186736,1485186744,8
Integral,64,6,1485186744,1485186752,8
Integral,64,7,1485186752,1485186760,8
Integral,64,8,1485186760,1485186768,8
